SiteNumber,SiteLongit,SiteLatitu,slo,wti,accumulati,Dis_Sea,Slope_degr,TWI,curv,curv_profi,Area,handMean,Altitude,imp,Dis_storm,Soil_Point,Soil_Mean,Rain_MAX,Rain_Mean,Wind_MAX,Wind_Mean,Wind_Point,Rain_Point,Tide_Mean,Tide_Point,RiverDisMn,Mean_Gage_height,Slope-Invariability,Max_Gage_height
1377451,-74.048056,41.011944,3.31031,-4.49143,652788,0.294101,5.09678,15.794834,96366896,-26802200000.0,49972600,23.0533,59.08,19.3428,0.219777,0.357088,0.36508,6.889282,6.670648,55.716061,55.433137,54.9344,6.97342,4.270981,4.28985,43293.6058,2.248542,1.340479211,10.05
1377500,-74.021111,40.992778,3.15559,-4.4666,949087,0.261447,4.9884,16.190445,115491000,-11407200000.0,75311200,20.2248,28.62,19.7077,0.187222,0.357088,0.362432,7.22933,6.808115,55.716061,55.138782,55.0121,7.00223,4.280611,4.29818,39482.60219,2.43375,1.414232683,8.69
1378500,-74.026667,40.948333,3.38801,-4.20953,3283270,0.250702,4.88062,17.453239,133541000,18369100000.0,249975000,23.6552,6.25,16.7518,0.173216,0.357088,0.370821,7.22933,6.607517,56.599323,55.710812,54.2734,7.2092,4.279223,4.31008,37729.29109,3.254479,1.3723147,11.84
1389765,-74.184722,40.953056,4.72696,-4.7279,166204,0.376593,3.57781,14.77728,189511008,29555000000.0,10505300,38.6209,209.68,15.6672,0.318079,0.356143,0.356143,7.507962,7.463442,52.458313,52.187225,51.7238,7.60245,4.283934,4.29631,41034.21443,2.871771,1.427776089,8.3
1389802,-74.181667,40.915833,5.59258,-4.64217,25414100,0.340989,1.36387,20.747383,266343008,-4798060000.0,2036490000,37.9734,100.0,8.26835,0.299383,0.356143,0.384074,8.636816,7.08024,56.665371,52.403775,51.165,7.75988,4.179915,4.31221,19500.35538,117.391667,1.174195968,122.46
1390450,-74.095556,41.058611,3.49995,-4.63023,344667,0.358141,0.727151,17.041288,78066496,4417900000.0,25097000,33.0515,185.16,15.9643,0.282682,0.357088,0.357088,6.823675,6.717579,55.537163,55.126849,54.7835,6.8601,4.263454,4.26695,46074.23531,2.093542,1.569040759,5.24
1390500,-74.090556,40.985,3.48609,-4.64062,660748,0.322725,6.7944,15.520195,94056200,21066600000.0,52397600,32.4235,71.74,15.0691,0.246652,0.357088,0.357088,7.106506,6.847101,55.537163,54.810954,53.8626,7.20034,4.271055,4.29637,41067.10733,0.971146,1.385284032,11.42
1391000,-74.111944,40.997778,2.74812,-4.36993,554221,0.347162,8.99912,15.061854,196063008,38247100000.0,41914600,17.9826,120.09,17.4255,0.271452,0.357088,0.356309,7.252923,7.091025,54.359299,53.716517,53.941,7.14192,4.267909,4.2868,40982.05734,1.508646,1.121391072,6.71
1391500,-74.080556,40.890278,2.75641,-4.35457,1834360,0.287014,12.1152,15.956263,140607008,38827100000.0,146476000,20.1817,25.0,17.9992,0.197065,0.357088,0.356865,7.847986,7.120702,55.537163,53.824803,50.6395,7.84799,4.28358,4.32804,34108.50654,2.295,1.098795187,13.5
1377000,-73.989167,40.999167,3.77161,-4.15482,1935700,0.236296,5.7681,16.758627,142344992,7944780000.0,146516000,28.0775,22.51,15.3285,0.161087,0.357088,0.37798,6.914865,6.470887,56.599323,55.97318,55.9442,6.77939,4.274769,4.30208,42028.08267,2.377708,1.301417093,12.26
