SiteNumber,SiteLongit,SiteLatitu,slo,wti,accumulati,Dis_Sea,Slope_degr,TWI,curv,curv_profi,Area,handMean,Altitude,imp,Dis_storm,Soil_Point,Soil_Mean,Rain_MAX,Rain_Mean,Wind_MAX,Wind_Mean,Wind_Point,Rain_Point,Tide_Mean,Tide_Point,RiverDisMn,Mean_Gage_height,Slope-Invariability,Max_Gage_height
1391000,-74.111944,40.997778,2.74812,-4.36993,554221,0.347162,8.99912,15.061854,196063008,38247100000.0,41914600,17.9826,120.09,18.3949,0.742892,0.401071,0.394897,0.129818,0.061601,31.162096,30.864394,31.1537,0.065036,1.189098,1.16292,40982.05734,2.121354,1.121391072,5.28
1391102,-74.099722,40.955278,3.04523,-4.48567,1351890,0.323107,2.83834,17.101234,141252992,3440230000.0,107742000,24.7061,0.0,16.1639,0.698669,0.401071,0.398662,0.153769,0.0887,31.723351,31.139275,31.1396,0.067502,1.206792,1.09921,38185.74939,2.529583,1.165385439,7.29
1391500,-74.080556,40.890278,2.75641,-4.35457,1834360,0.287014,12.1152,15.956263,140607008,38827100000.0,146476000,20.1817,25.0,23.3597,0.630905,0.401071,0.399297,0.153769,0.083798,31.723351,31.140542,31.0517,0.070992,1.170644,0.98231,34108.50654,3.043021,1.098795187,12.57
1377000,-73.989167,40.999167,3.77161,-4.15482,1935700,0.236296,5.7681,16.758627,142344992,7944780000.0,146516000,28.0775,22.51,19.6189,0.710498,0.401071,0.399002,0.23673,0.183477,33.039299,32.21669,31.9469,0.13373,1.352216,1.30251,42028.08267,2.090208,1.301417093,11.05
1383000,-74.333333,41.161667,7.48886,-4.54666,883076,0.616267,6.7167,15.821746,286811008,-22250100000.0,70030100,65.1348,608.86,4.06848,0.961295,0.398141,0.392713,0.039505,0.033144,29.793875,29.389225,29.4919,0.034244,1.324742,1.31758,48578.1507,10.331146,0.729663316,11.55
1383500,-74.333611,41.160278,7.48792,-4.54692,883061,0.615878,1.19509,17.514188,286671008,-10078100000.0,70067500,65.1046,601.32,4.06754,0.960036,0.398141,0.392716,0.039505,0.033144,29.793875,29.389225,29.4919,0.034244,1.324742,1.31758,48578.1507,2.556667,0.729898385,4.69
1384500,-74.265833,41.127222,9.12947,-5.16801,571444,0.540488,1.33741,16.971291,497887008,-9625990000.0,43495300,56.4081,292.67,1.28104,0.909632,0.398141,0.398141,0.049095,0.043533,30.284296,30.020103,30.0456,0.046344,1.306571,1.27379,50219.7684,10.93,1.16688125,12.64
1387400,-74.168611,41.140278,8.58493,-5.15332,2887850,0.463562,9.81845,16.624369,494928992,-39104600000.0,222637000,53.2757,295.78,4.45502,0.895476,0.398141,0.397799,0.171917,0.113873,31.125839,30.306097,30.7712,0.130006,1.332758,1.28357,47601.32627,3.259688,1.236980068,9.0
1387420,-74.160278,41.118333,8.69952,-5.17969,3004720,0.444508,5.13453,17.314184,486964000,20850400000.0,238676000,56.037,263.29,4.51751,0.872087,0.393614,0.397756,0.171917,0.113204,31.125839,30.340006,30.7983,0.056068,1.329884,1.26084,47181.60902,4.085729,1.301709279,11.85
1387450,-74.116111,41.141111,7.15333,-5.03788,432048,0.421337,6.5163,15.137171,281436992,8346500000.0,32631400,83.6221,321.57,8.88395,0.881855,0.396248,0.396313,0.188647,0.16181,31.538607,31.303186,31.1125,0.143186,1.31675,1.29489,49753.24715,2.418646,1.139825557,7.06
1387500,-74.162778,41.098056,7.98817,-5.09267,3904280,0.436081,14.3691,16.535557,422747008,11938200000.0,311260000,56.6911,253.1,7.34835,0.853276,0.393614,0.397395,0.188647,0.118028,31.538607,30.531973,30.8127,0.056595,1.319914,1.2481,43420.90701,4.278229,1.208729522,10.46
1375000,-73.858889,41.225028,6.11523,-4.38836,12292800,0.308058,11.2593,17.933557,287668000,7048440000.0,978728000,40.0628,43.12,6.20625,0.891878,0.352202,0.331449,2.296324,0.947444,35.485474,32.313527,33.1336,0.323289,1.314763,1.39391,58365.26625,3.520208,1.332354618,11.01
1376800,-73.963889,41.095556,4.34319,-4.23527,1118170,0.276035,6.5868,16.077321,157274000,4860380000.0,81993400,31.9427,52.53,20.1878,0.796233,0.401071,0.397476,0.23673,0.202601,33.039299,32.320808,32.401,0.183043,1.36974,1.38363,49278.12227,3.689896,1.336660546,11.8
1374901,-73.665556,41.266111,5.89661,-4.30475,980080,0.259773,8.21465,15.723909,326313984,14851200000.0,76930600,36.1377,203.26,2.25632,0.878268,0.352202,0.278618,1.98904,1.276194,33.922649,32.808431,33.5594,0.783591,1.276041,1.31895,71974.4741,1.9325,1.253085622,5.68
1374890,-73.601861,41.260222,6.29689,-4.52385,558569,0.241899,1.05581,17.174099,347584000,5170370000.0,44116400,38.2896,333.72,2.03638,0.855108,0.258539,0.258539,1.98904,1.490296,33.40583,32.395758,33.0999,1.16846,1.262623,1.28498,75294.40628,2.347812,1.355853245,5.2
1387095,-74.146972,41.311556,4.71541,-4.69806,354840,0.557975,4.57573,15.292336,123519000,-12875500000.0,25588700,34.8204,522.23,18.4376,1.054219,0.398141,0.398141,0.136402,0.107588,29.955488,29.636001,30.0288,0.140837,1.363927,1.35764,63332.79005,4.160833,1.101449628,6.16
1374581,-73.736111,41.449944,7.0927,-4.69142,757161,0.455451,1.08509,17.452326,327704000,5437750000.0,57484500,41.6337,528.53,1.45464,1.074411,0.381326,0.381326,0.595619,0.460953,31.224791,30.456961,31.3177,0.631801,1.334696,1.32877,83203.94605,2.049792,1.263781194,7.78
