SiteNumber,SiteLongit,SiteLatitu,slo,wti,accumulati,Dis_Sea,Slope_degr,TWI,curv,curv_profi,Area,handMean,Altitude,imp,Dis_storm,Soil_Point,Soil_Mean,Rain_MAX,Rain_Mean,Wind_MAX,Wind_Mean,Wind_Point,Rain_Point,Tide_Mean,Tide_Point,RiverDisMn,Mean_Gage_height,Slope-Invariability,Max_Gage_height
1392170,-74.187778,40.8,3.14268,-4.47281,253189,0.241191,4.84924,14.897187,156347008,168000000000.0,20167700,23.868,100.0,33.0076,0.82075,0.317557,0.316127,1.265542,1.184459,57.813137,56.185556,58.013,1.0821,1.244108,1.24121,35194.72634,1.580625,1.331654039,2.9
1392500,-74.171667,40.788056,3.15384,-4.46506,352957,0.222384,2.69799,15.808083,83680896,-1768420000.0,27681200,24.9372,62.6,41.1187,0.840763,0.317557,0.317557,1.276536,1.138116,60.278328,57.583766,58.7403,1.03836,1.259972,1.23208,34650.11368,1.39375,1.107351152,3.54
1379773,-74.539722,40.96,6.8066,-4.21996,129701,0.545727,4.01909,14.414384,394547008,19852500000.0,9566240,24.1873,712.54,2.21871,0.438272,0.254525,0.254525,2.162811,2.00476,49.881611,48.69885,47.1883,2.22126,1.472685,1.50594,48488.7989,1.273542,0.571905571,1.86
1379780,-74.557222,40.949444,7.03592,-4.3945,176824,0.545528,3.98376,14.733041,345019008,25500800000.0,13313300,34.7506,694.91,4.26636,0.429289,0.254525,0.254525,2.297802,2.070268,49.881611,48.242863,46.1838,2.35681,1.47979,1.53914,48366.87533,2.238542,0.609879608,2.64
1380450,-74.419167,40.9075,6.05614,-4.77248,3762630,0.444278,1.73657,18.604186,258652992,-3254500000.0,301197000,37.4889,479.0,7.88192,0.568036,0.254525,0.264536,2.836504,2.032662,52.984398,48.763811,52.6236,1.54132,1.493385,1.40497,39328.85505,0.912917,1.067226524,2.22
1382210,-74.501667,41.039722,6.0255,-4.68749,885374,0.598533,15.5772,14.967531,290915008,43518700000.0,69477600,36.5929,790.0,0.70844,0.42703,0.254525,0.256596,2.1872,1.909163,49.994217,48.582573,48.4159,2.00343,1.441858,1.45904,51470.30122,4.524687,1.353158923,4.53
1382385,-74.408333,41.024722,5.96725,-4.67728,2049830,0.550792,6.02977,16.771662,270944992,69155700000.0,156105000,34.486,610.0,1.24334,0.51359,0.254525,0.255684,2.1872,1.781235,52.070393,49.794605,51.9373,1.56593,1.421095,1.37814,45738.19316,3.129896,1.344739216,5.28
1382500,-74.401111,41.018333,5.97874,-4.68192,2073140,0.542233,13.6798,15.953523,271272000,-39885000000.0,164142000,34.1939,549.17,1.25937,0.523122,0.254525,0.25562,2.1872,1.768088,52.240509,49.916499,52.2159,1.53654,1.417297,1.37967,45674.92311,2.242222,1.364953085,3.81
1381000,-74.394722,40.896944,5.96897,-4.73942,3879460,0.425599,3.13477,18.057785,254228000,16279000000.0,310484000,36.9218,195.68,8.0689,0.594299,0.254525,0.264576,2.836504,2.015916,53.029251,48.895113,52.9757,1.48056,1.48948,1.37642,38221.5846,1.682604,1.091831327,3.17
1382800,-74.298056,40.998611,6.40591,-4.81426,3333080,0.467931,2.27115,18.221922,333980992,4520940000.0,227151000,36.5043,187.9,3.19804,0.620411,0.257483,0.255824,2.1872,1.687066,53.548538,50.68668,53.5978,1.36445,1.399297,1.30017,41833.65537,1.966042,1.15325668,3.82
1386000,-74.311667,41.073611,8.16301,-5.34781,381577,0.539662,5.87945,15.115649,522555008,-10027400000.0,30412300,48.946,326.79,2.29014,0.568315,0.257483,0.257389,1.490206,1.407154,53.458332,52.874338,53.3942,1.35563,1.329149,1.30554,47616.14797,0.134583,1.260737515,1.26
1387000,-74.293056,41.044167,7.91447,-5.25149,207570,0.504905,2.32756,15.421775,395944992,-557339000.0,16611000,54.4999,210.0,10.0349,0.599916,0.257483,0.257483,1.322409,1.275298,54.402523,54.088577,53.703,1.33626,1.281397,1.29748,45003.76912,1.367475,0.870804721,1.95
